who_region,year,countries,avg_obesity_pct,avg_sugar_kg_per_capita,avg_sugar_kcal_per_capita_day,sugar_obesity_corr
South-East Asia,2015,9,6.432899188888889,26.52111111111111,213.69222222222223,0.5814378538752752
South-East Asia,2016,9,6.7892402,26.186666666666667,203.69,0.4930334482053145
South-East Asia,2017,9,7.158144011111111,24.736666666666668,196.31666666666666,0.5013808691974434
South-East Asia,2018,9,7.537285244444444,25.923333333333332,204.45333333333335,0.5417367710983942
South-East Asia,2019,9,8.021200466666667,26.656666666666666,211.69222222222223,0.5784040742572268
South-East Asia,2020,9,8.426228144444444,26.226666666666667,205.7111111111111,0.5229258992873147
South-East Asia,2021,9,8.845790433333333,26.70777777777778,208.71555555555557,0.528133704752447
South-East Asia,2022,9,9.284604455555556,25.41777777777778,199.90444444444444,0.46300457579200005
South-East Asia,2023,9,9.743355466666667,24.157777777777778,203.91,0.7426132106788584
Western Pacific,2010,18,18.559297815555556,39.25222222222222,264.53222222222223,0.31891269566818786
Western Pacific,2011,18,18.922386774444444,38.78,265.49888888888887,0.33885933003440266
Western Pacific,2012,18,19.289262316666665,39.80111111111111,268.55555555555554,0.3184784043276836
Western Pacific,2013,18,19.663976404444444,39.49777777777778,267.1116666666667,0.32879372371095866
Western Pacific,2014,18,20.047663255555555,41.215555555555554,275.53444444444443,0.35403868721489823
Western Pacific,2015,18,20.443506166666666,40.93277777777778,268.2138888888889,0.3627835104952147
Western Pacific,2016,18,20.850841255555554,40.985,267.4738888888889,0.3728006326758966
Western Pacific,2017,18,21.264992922222223,40.504444444444445,260.7561111111111,0.3424991628500054
Western Pacific,2018,18,21.68344443333333,39.52722222222222,262.5888888888889,0.31411273212701163
Western Pacific,2019,23,29.87864791304348,42.68608695652174,277.82217391304346,0.43922711726039537
Western Pacific,2020,23,30.316782365217392,44.29521739130435,285.5282608695652,0.365609949321672
Western Pacific,2021,23,30.77124089130435,46.055217391304346,283.0886956521739,0.43959431012417705
Western Pacific,2022,23,31.232645060869565,44.08391304347826,291.5695652173913,0.5193577520241306
Western Pacific,2023,23,31.699063186956522,45.08565217391304,287.90608695652173,0.46718079365021004
