iso3,country,who_region,who_region_code,scenario,total_sugar_change_by_2030,forecast_year,forecast_obesity_pct,input_year,predicted_obesity_change_3yr,predicted_annualized_change,sugar_supply_kg_per_capita_assumption,sugar_supply_kcal_per_capita_day_assumption,model_name,model_type
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -2% by 2030,-0.02,2028,24.13731482827922,2027,2.5765047640887238,0.858834921362908,10.448571428571428,105.22500000000001,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -2% by 2030,-0.02,2029,24.95878119875207,2028,2.4643991114185586,0.8214663704728529,10.418285714285714,104.92,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -2% by 2030,-0.02,2030,25.73523230674248,2029,2.329353323971219,0.7764511079904063,10.388,104.615,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -5% by 2030,-0.05,2024,20.552306146863774,2023,2.8031734405913236,0.9343911468637746,10.524285714285714,105.9875,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -5% by 2030,-0.05,2025,21.478604629806554,2024,2.7788954488283375,0.9262984829427792,10.448571428571428,105.22500000000001,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -5% by 2030,-0.05,2026,22.389811795973234,2025,2.7336214985000384,0.9112071661666795,10.372857142857143,104.46249999999999,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -5% by 2030,-0.05,2027,23.278503377463284,2026,2.6660747444701514,0.8886915814900505,10.297142857142857,103.7,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -5% by 2030,-0.05,2028,24.137308060353455,2027,2.5764140486705096,0.8588046828901699,10.221428571428572,102.9375,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -5% by 2030,-0.05,2029,24.95869579564457,2028,2.464163205873345,0.8213877352911151,10.145714285714286,102.17500000000001,linear_regression,sugar_sensitivity_model
AFG,Afghanistan,Eastern Mediterranean,EMR,Sugar -5% by 2030,-0.05,2030,25.734999572681964,2029,2.328911331112189,0.7763037770373963,10.069999999999999,101.4125,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Constant sugar,0.0,2024,12.708740935489814,2023,1.3320988064694386,0.4440329354898129,14.66,96.04,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Constant sugar,0.0,2025,13.201260385666755,2024,1.47755835053082,0.49251945017694004,14.66,96.04,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Constant sugar,0.0,2026,13.758950583640427,2025,1.673070593921018,0.5576901979736727,14.66,96.04,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Constant sugar,0.0,2027,14.398254230220793,2026,1.9179109397411,0.6393036465803666,14.66,96.04,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Constant sugar,0.0,2028,15.136066981346435,2027,2.213438253376926,0.737812751125642,14.66,96.04,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Constant sugar,0.0,2029,15.989603527081938,2028,2.560609637206511,0.8535365457355036,14.66,96.04,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Constant sugar,0.0,2030,16.97652508812112,2029,2.9607646831175485,0.9869215610391828,14.66,96.04,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar +10% by 2030,0.1,2024,12.708740935489814,2023,1.3320988064694386,0.4440329354898129,14.869428571428571,97.412,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar +10% by 2030,0.1,2025,13.20121137724959,2024,1.4774113252793268,0.4924704417597756,15.078857142857142,98.78399999999999,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar +10% by 2030,0.1,2026,13.758839822781804,2025,1.6728853365966418,0.5576284455322139,15.288285714285715,100.15600000000002,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar +10% by 2030,0.1,2027,14.39814471034613,2026,1.917914662692982,0.6393048875643274,15.497714285714286,101.528,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar +10% by 2030,0.1,2028,15.136095194391881,2027,2.2138514521372508,0.7379504840457503,15.707142857142857,102.9,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar +10% by 2030,0.1,2029,15.989991395618455,2028,2.5616886036797233,0.8538962012265744,15.916571428571428,104.272,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar +10% by 2030,0.1,2030,16.97758766122316,2029,2.9627887968141153,0.9875962656047051,16.126,105.64400000000002,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar +2% by 2030,0.02,2024,12.708740935489814,2023,1.3320988064694386,0.4440329354898129,14.701885714285716,96.3144,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar +2% by 2030,0.02,2025,13.201250583983322,2024,1.4775289454805214,0.49250964849350715,14.74377142857143,96.5888,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar +2% by 2030,0.02,2026,13.758928431468703,2025,1.6730335424561429,0.557677847485381,14.785657142857145,96.86320000000002,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar +2% by 2030,0.02,2027,14.398232326245864,2026,1.9179116843314818,0.6393038947771607,14.827542857142856,97.13759999999999,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar +2% by 2030,0.02,2028,15.136072623955531,2027,2.2135208931290027,0.7378402977096675,14.869428571428571,97.412,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar +2% by 2030,0.02,2029,15.989681100789253,2028,2.5608254305011675,0.8536084768337225,14.911314285714285,97.6864,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar +2% by 2030,0.02,2030,16.976737602741547,2029,2.96116950585688,0.9870565019522933,14.9532,97.9608,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar +5% by 2030,0.05,2024,12.708740935489814,2023,1.3320988064694386,0.4440329354898129,14.764714285714286,96.726,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar +5% by 2030,0.05,2025,13.201235881458173,2024,1.4774848379050736,0.49249494596835786,14.869428571428571,97.412,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar +5% by 2030,0.05,2026,13.758895203211116,2025,1.6729779652588297,0.5576593217529432,14.974142857142857,98.098,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar +5% by 2030,0.05,2027,14.398199470283465,2026,1.9179128012170457,0.6393042670723486,15.078857142857142,98.78399999999999,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar +5% by 2030,0.05,2028,15.136081087869165,2027,2.213644852757101,0.7378816175857003,15.18357142857143,99.47000000000001,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar +5% by 2030,0.05,2029,15.989797461350209,2028,2.5611491204431314,0.8537163734810438,15.288285714285715,100.15600000000002,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar +5% by 2030,0.05,2030,16.97705637467216,2029,2.9617767399658517,0.9872589133219506,15.393,100.84200000000001,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar -10% by 2030,-0.1,2024,12.708740935489814,2023,1.3320988064694386,0.4440329354898129,14.450571428571429,94.668,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar -10% by 2030,-0.1,2025,13.20130939408392,2024,1.4777053757823135,0.49256845859410453,14.241142857142858,93.296,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar -10% by 2030,-0.1,2026,13.75906134449905,2025,1.6732558512453943,0.5577519504151315,14.031714285714287,91.924,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar -10% by 2030,-0.1,2027,14.398363750095456,2026,1.917907216789218,0.6393024055964059,13.822285714285714,90.552,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar -10% by 2030,-0.1,2028,15.13603876830099,2027,2.213025054616602,0.7376750182055339,13.612857142857143,89.18,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar -10% by 2030,-0.1,2029,15.989215658545426,2028,2.5595306707333068,0.8531768902444355,13.403428571428572,87.808,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar -10% by 2030,-0.1,2030,16.975462515019093,2029,2.9587405694209967,0.9862468564736656,13.194,86.436,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar -2% by 2030,-0.02,2024,12.708740935489814,2023,1.3320988064694386,0.4440329354898129,14.618114285714285,95.7656,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar -2% by 2030,-0.02,2025,13.201270187350188,2024,1.4775877555811188,0.49252925186037294,14.576228571428572,95.4912,linear_regression,sugar_sensitivity_model
