iso3,country,who_region,who_region_code,scenario,total_sugar_change_by_2030,forecast_year,forecast_obesity_pct,input_year,sugar_supply_kg_per_capita_assumption,sugar_supply_kcal_per_capita_day_assumption
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar +2% by 2030,0.02,2028,30.92808503960522,2027,31.878999999999998,272.1937142857143
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar +2% by 2030,0.02,2029,30.749321472185372,2028,31.968799999999998,272.96045714285714
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar +2% by 2030,0.02,2030,30.566943362187786,2029,32.0586,273.72720000000004
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar +5% by 2030,0.05,2024,31.574360945220487,2023,31.6545,270.2768571428571
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar +5% by 2030,0.05,2025,31.426747945104836,2024,31.878999999999998,272.1937142857143
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar +5% by 2030,0.05,2026,31.26840801284604,2025,32.1035,274.1105714285714
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar +5% by 2030,0.05,2027,31.101569719404633,2026,32.327999999999996,276.0274285714286
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar +5% by 2030,0.05,2028,30.927945570797156,2027,32.5525,277.94428571428574
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar +5% by 2030,0.05,2029,30.749122476433605,2028,32.777,279.8611428571429
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar +5% by 2030,0.05,2030,30.56668172785079,2029,33.0015,281.778
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar -10% by 2030,-0.1,2024,31.574360945220487,2023,30.981,264.52628571428573
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar -10% by 2030,-0.1,2025,31.426810381758667,2024,30.532,260.69257142857145
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar -10% by 2030,-0.1,2026,31.268619404146083,2025,30.083000000000002,256.8588571428572
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar -10% by 2030,-0.1,2027,31.10199984049089,2026,29.634,253.02514285714287
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar -10% by 2030,-0.1,2028,30.92864291483767,2027,29.185000000000002,249.1914285714286
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar -10% by 2030,-0.1,2029,30.750117455192733,2028,28.735999999999997,245.35771428571428
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar -10% by 2030,-0.1,2030,30.567989899536187,2029,28.287,241.52400000000003
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar -2% by 2030,-0.02,2024,31.574360945220487,2023,31.3402,267.59325714285717
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar -2% by 2030,-0.02,2025,31.42677708220996,2024,31.250400000000003,266.8265142857143
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar -2% by 2030,-0.02,2026,31.2685066621194,2025,31.1606,266.0597714285714
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar -2% by 2030,-0.02,2027,31.10177044257823,2026,31.0708,265.2930285714286
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar -2% by 2030,-0.02,2028,30.928270998016075,2027,30.981,264.52628571428573
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar -2% by 2030,-0.02,2029,30.749586799854548,2028,30.8912,263.7595428571429
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar -2% by 2030,-0.02,2030,30.567292207970667,2029,30.801399999999997,262.9928
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar -5% by 2030,-0.05,2024,31.574360945220487,2023,31.2055,266.4431428571429
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar -5% by 2030,-0.05,2025,31.426789569540723,2024,30.981,264.52628571428573
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar -5% by 2030,-0.05,2026,31.268548940379404,2025,30.7565,262.60942857142857
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar -5% by 2030,-0.05,2027,31.101856466795475,2026,30.532,260.69257142857145
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar -5% by 2030,-0.05,2028,30.92841046682417,2027,30.3075,258.7757142857143
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar -5% by 2030,-0.05,2029,30.749785795606364,2028,30.083000000000002,256.8588571428572
ARE,United Arab Emirates,Eastern Mediterranean,EMR,Sugar -5% by 2030,-0.05,2030,30.567553842307728,2029,29.8585,254.942
ARG,Argentina,Americas,AMR,Constant sugar,0.0,2024,37.198371284931355,2023,39.06,386.07
ARG,Argentina,Americas,AMR,Constant sugar,0.0,2025,38.17927418650598,2024,39.06,386.07
ARG,Argentina,Americas,AMR,Constant sugar,0.0,2026,39.170406683497056,2025,39.06,386.07
ARG,Argentina,Americas,AMR,Constant sugar,0.0,2027,40.17247426095839,2026,39.06,386.07
ARG,Argentina,Americas,AMR,Constant sugar,0.0,2028,41.18635167908833,2027,39.06,386.07
ARG,Argentina,Americas,AMR,Constant sugar,0.0,2029,42.2130020689563,2028,39.06,386.07
ARG,Argentina,Americas,AMR,Constant sugar,0.0,2030,43.2534303647147,2029,39.06,386.07
ARG,Argentina,Americas,AMR,Sugar +10% by 2030,0.1,2024,37.198371284931355,2023,39.618,391.5852857142857
ARG,Argentina,Americas,AMR,Sugar +10% by 2030,0.1,2025,38.17922165850031,2024,40.175999999999995,397.10057142857136
ARG,Argentina,Americas,AMR,Sugar +10% by 2030,0.1,2026,39.170227714163644,2025,40.734,402.6158571428572
ARG,Argentina,Americas,AMR,Sugar +10% by 2030,0.1,2027,40.17210700220336,2026,41.292,408.13114285714283
ARG,Argentina,Americas,AMR,Sugar +10% by 2030,0.1,2028,41.18574991535361,2027,41.85,413.64642857142854
ARG,Argentina,Americas,AMR,Sugar +10% by 2030,0.1,2029,42.212132469596504,2028,42.408,419.16171428571425
ARG,Argentina,Americas,AMR,Sugar +10% by 2030,0.1,2030,43.25226976088189,2029,42.96600000000001,424.677
ARG,Argentina,Americas,AMR,Sugar +2% by 2030,0.02,2024,37.198371284931355,2023,39.171600000000005,387.17305714285715
ARG,Argentina,Americas,AMR,Sugar +2% by 2030,0.02,2025,38.17926368090485,2024,39.28320000000001,388.2761142857143
ARG,Argentina,Americas,AMR,Sugar +2% by 2030,0.02,2026,39.1703708896304,2025,39.394800000000004,389.37917142857145
ARG,Argentina,Americas,AMR,Sugar +2% by 2030,0.02,2027,40.172400809207424,2026,39.5064,390.48222857142855
ARG,Argentina,Americas,AMR,Sugar +2% by 2030,0.02,2028,41.18623132634144,2027,39.618,391.5852857142857
